title,projectname,builder,price,per_sqft,area,status,place
2  BHK  Apartment,,Karimulla,8900000,"6,980 / sq ft",1275,Under Construction,Moosapet
2  BHK  Apartment,,suman,7500000,"5,514 / sq ft",1360,Under Construction,Miyapur
2  BHK  Apartment,,Sony,5730000,"4,424 / sq ft",1295,Under Construction,Kukatpally
2  BHK  Apartment,,Sony,5740000,"4,432 / sq ft",1295,Under Construction,Hitech City
3  BHK  Apartment,Incor Lake City,Real Avenue Consultant Services RACS LLP,8000000,"5,852 / sq ft",1367,Under Construction,Patancheru
2  BHK  Apartment,,TSR PROPERTIES,6893000,"6,100 / sq ft",1130,Under Construction,Narsingi
3  BHK  Apartment,Shri Sunyuga Hill View,TSR PROPERTIES,11000000,"6,285 / sq ft",1750,Ready to move,Manikonda
2  BHK  Apartment,,Sony,5740000,"4,432 / sq ft",1295,Under Construction,Balanagar
2  BHK  Apartment,,MsReddy,5500000,"4,782 / sq ft",1150,Under Construction,Pragathi Nagar Kukatpally
3  BHK  Apartment,Hallmark Sunnyside,KeyXO Properties,12000000,"6,799 / sq ft",1770,Under Construction,Manchirevula
4  BHK  Apartment,Ramky One Odyssey,EXP Global India Pvt Ltd,16100000,"7,499 / sq ft",2160,Under Construction,Narsingi
2  BHK  Apartment,,TSR PROPERTIES,6552000,"5,200 / sq ft",1260,Under Construction,Kollur
3  BHK  Apartment,,TSR PROPERTIES,13000000,"5,200 / sq ft",2500,Under Construction,Kollur
2  BHK  Apartment,,Sony,5760000,"4,447 / sq ft",1295,Under Construction,Moosapet
2  BHK  Apartment,,TSR PROPERTIES,6801000,"6,100 / sq ft",1115,Under Construction,Narsingi
2  BHK  Apartment,,TSR PROPERTIES,6801000,"6,100 / sq ft",1115,Under Construction,Narsingi
3  BHK  Apartment,,Tlrinfra,7800000,"5,379 / sq ft",1450,Under Construction,Bachupally
2  BHK  Apartment,,Sony,5720000,"4,416 / sq ft",1295,Under Construction,Moosapet
3  BHK  Independent Floor,,Ayyappa Real Estates and Rentals,8500000,"3,207 / sq ft",2650,Ready to move,Nallakunta
3  BHK  Villa,,Avimukthika Infra,12000000,"5,581 / sq ft",2150,Under Construction,Gagillapur
2  BHK  Apartment,,Sony,5760000,"4,447 / sq ft",1295,Under Construction,Sanath Nagar
2  BHK  Apartment,,Sony,5710000,"4,409 / sq ft",1295,Under Construction,Erragadda
2  BHK  Apartment,,TSR PROPERTIES,6893000,"6,100 / sq ft",1130,Under Construction,Narsingi
2  BHK  Independent House,,Royal Rajputana Co,12000000,"8,571 / sq ft",1400,Ready to move,Kapra
3  BHK  Apartment,Shri Sunyuga Hill View,TSR PROPERTIES,11000000,"6,285 / sq ft",1750,Ready to move,Manikonda
2  BHK  Apartment,,EXP Global India Pvt Ltd,10200000,"8,034 / sq ft",1270,Under Construction,Sanath Nagar
4  BHK  Villa,PVR Urban Life,Yes Property,30000000,"7,894 / sq ft",3800,Ready to move,Mokila
2  BHK  Apartment,,Avimukthika Infra,6800000,"5,230 / sq ft",1300,Under Construction,Bandlaguda Jagir
2  BHK  Apartment,,Sony,5740000,"4,432 / sq ft",1295,Under Construction,Balanagar
2  BHK  Apartment,NSK Platina,Ramesh,4900000,"5,664 / sq ft",865,Ready to move,Miyapur
3  BHK  Apartment,,Ramesh,8900000,"5,668 / sq ft",1570,Ready to move,Serilingampally
3  BHK  Apartment,Saket Swarna Villas,Royal Rajputana Co,6000000,"4,225 / sq ft",1420,Ready to move,Sainikpuri
2  BHK  Apartment,,Mahesh,5040000,"4,500 / sq ft",1120,Under Construction,Pati
2  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,2900000,"2,426 / sq ft",1195,Under Construction,Bollaram Industrial Area
3  BHK  Apartment,,Avimukthika Infra,8800000,"4,888 / sq ft",1800,Under Construction,Bandlaguda Jagir
2  BHK  Apartment,,Sony,5720000,"4,416 / sq ft",1295,Under Construction,Moosapet
3  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,11299999,"6,446 / sq ft",1753,Under Construction,Attapur
2  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,8000000,"6,400 / sq ft",1250,Ready to move,Kondapur
3  BHK  Apartment,Sukhii Ubuntu,TSR PROPERTIES,15300000,"6,900 / sq ft",2230,Under Construction,Puppalaguda
2  BHK  Apartment,,Mahesh,9072000,"5,383 / sq ft",1685,Under Construction,Kokapet
2  BHK  Apartment,,Mahesh,9072000,"5,383 / sq ft",1685,Under Construction,Kokapet
4  BHK  Independent House,,Royal Rajputana Co,20000000,"5,714 / sq ft",3500,Ready to move,Sainikpuri
2  BHK  Apartment,IRA Aspiration ,Real Avenue Consultant Services RACS LLP,6500000,"5,019 / sq ft",1295,Under Construction,Kollur
2  BHK  Apartment,,Sathish,2700000,"3,107 / sq ft",869,Ready to move,Aminpur
3  BHK  Apartment,,Kazim Co Real Estate,9075000,"5,500 / sq ft",1650,Ready to move,Bandlaguda Jagir
2  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,5000000,"4,545 / sq ft",1100,Under Construction,Chandanagar
2  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,7000000,"4,771 / sq ft",1467,Under Construction,Bachupally
2  BHK  Apartment,,srinivassvgs,3200000,"2,746 / sq ft",1165,Under Construction,Indresham
2  BHK  Apartment,,Mahesh,4179999,"3,800 / sq ft",1100,Under Construction,Bowrampet
3  BHK  Apartment,Brigade Citadel Phase 3,Anudeep,13600000,"7,640 / sq ft",1793,Under Construction,Erragadda
3  BHK  Apartment,,MIK Properties,12700000,"8,199 / sq ft",1555,Under Construction,Moti Nagar
3  BHK  Apartment,,Mahesh,6972000,"4,174 / sq ft",1670,Under Construction,Patancheru
2  BHK  Apartment,,Tlrinfra,4800000,"4,363 / sq ft",1100,Under Construction,Hafeezpet
2  BHK  Apartment,,Tlrinfra,4800000,"3,966 / sq ft",1210,Under Construction,Gajularamaram
2  BHK  Apartment,Hallmark Vesta,KeyXO Properties,5614000,"4,299 / sq ft",1306,Under Construction,Patighanpur
4  BHK  Apartment,,Tlrinfra,8400000,"5,793 / sq ft",1450,Under Construction,Bachupally
4  BHK  Apartment,,Tlrinfra,8400000,"6,000 / sq ft",1400,Under Construction,Hitech City
2  BHK  Apartment,,TSR PROPERTIES,7320000,"6,100 / sq ft",1200,Under Construction,Narsingi
2  BHK  Apartment,Incor Lake City,Real Avenue Consultant Services RACS LLP,6500000,"5,840 / sq ft",1113,Under Construction,Patancheru
2  BHK  Apartment,Incor Lake City,Real Avenue Consultant Services RACS LLP,6200000,"5,838 / sq ft",1062,Under Construction,Patancheru
2  BHK  Apartment,,Mahesh,5225000,"4,750 / sq ft",1100,Under Construction,Mallampet
3  BHK  Apartment,Ramky One Symphony,Real Avenue Consultant Services RACS LLP,8600000,"5,425 / sq ft",1585,Under Construction,Patancheru
3  BHK  Apartment,Hallmark Vesta,KeyXO Properties,7334000,"4,299 / sq ft",1706,Under Construction,Patighanpur
3  BHK  Apartment,,Mahesh,12100000,"6,139 / sq ft",1985,Under Construction,Puppalaguda
2  BHK  Apartment,,Tlrinfra,7500000,"5,555 / sq ft",1350,Under Construction,Bachupally
3  BHK  Apartment,,TSR PROPERTIES,9943000,"6,100 / sq ft",1630,Under Construction,Narsingi
2  BHK  Apartment,,Tlrinfra,5200000,"4,160 / sq ft",1250,Under Construction,Pragathi Nagar Kukatpally
2  BHK  Apartment,,Tlrinfra,4800000,"3,815 / sq ft",1258,Under Construction,Aminpur
3  BHK  Apartment,,Mahesh,5136000,"3,200 / sq ft",1605,Under Construction,Patancheru
1  BHK  Apartment,,EXP Global India Pvt Ltd,2899000,"4,699 / sq ft",617,Under Construction,Bahadurpally
2  BHK  Apartment,Hallmark Vesta,KeyXO Properties,5442000,"4,299 / sq ft",1266,Under Construction,Patighanpur
3  BHK  Apartment,Mainland A2A Home Land,Anudeep,10900000,"5,999 / sq ft",1825,Under Construction,Balanagar
3  BHK  Apartment,,Tlrinfra,7800000,"5,379 / sq ft",1450,Under Construction,Hafeezpet
3  BHK  Apartment,,Mahesh,13400000,"6,900 / sq ft",1945,Under Construction,Puppalaguda
2  BHK  Apartment,,Rasa Infra,5940000,"5,500 / sq ft",1080,Ready to move,Safilguda
3  BHK  Apartment,Manbhum Around The Grove,Real Avenue Consultant Services RACS LLP,20700000,"9,000 / sq ft",2300,Ready to move,Hitech City
3  BHK  Apartment,,TSR PROPERTIES,9943000,"6,100 / sq ft",1630,Under Construction,Narsingi
3  BHK  Apartment,Shreemukh Namitha 360 Life,EXP Global India Pvt Ltd,36700000,"10,211 / sq ft",3600,Under Construction,Hitech City
1  RK  Studio Apartment,,Bhoomi Real Estates,2600000,"4,333 / sq ft",600,Under Construction,Tarnaka
2  BHK  Apartment,,Tlrinfra,4800000,"3,840 / sq ft",1250,Under Construction,Kondapur
3  BHK  Apartment,Ramky One Odyssey,EXP Global India Pvt Ltd,13100000,"7,499 / sq ft",1750,Under Construction,Narsingi
3  BHK  Apartment,,Tlrinfra,7498000,"4,999 / sq ft",1500,Under Construction,Bachupally
2  BHK  Apartment,,Mahesh,4179999,"3,800 / sq ft",1100,Under Construction,Bowrampet
2  BHK  Apartment,Saket Swarna Villas,Royal Rajputana Co,4400000,"4,150 / sq ft",1060,Ready to move,Sainikpuri
2  BHK  Apartment,,Kazim Co Real Estate,5500000,"4,782 / sq ft",1150,Ready to move,Toli Chowki
2  BHK  Apartment,,Satyam,5800000,"5,043 / sq ft",1150,Ready to move,Gajularamaram
3  BHK  Apartment,,Mahesh,10500000,"5,400 / sq ft",1950,Under Construction,Kokapet
3  BHK  Apartment,,Tlrinfra,7800000,"5,909 / sq ft",1320,Under Construction,Pati
3  BHK  Villa,,MsReddy,14500000,"7,837 / sq ft",1850,Under Construction,Patancheru
3  BHK  Independent House,,Royal Rajputana Co,12500000,"6,760 / sq ft",1849,Ready to move,Shamirpet
3  BHK  Apartment,Manbhum Around The Grove,Real Avenue Consultant Services RACS LLP,16600000,"8,948 / sq ft",1855,Ready to move,Hitech City
4  BHK  Independent House,,Royal Rajputana Co,16000000,"6,956 / sq ft",2300,Ready to move,AS Rao Nagar
2  BHK  Apartment,,Sathish,2700000,"3,107 / sq ft",869,Ready to move,Aminpur
3  BHK  Independent House,,Bhoomi Real Estates,6500000,"4,333 / sq ft",1500,Under Construction,Saidabad
2  BHK  Apartment,Endeco TS Heights,Real Avenue Consultant Services RACS LLP,7500000,"6,493 / sq ft",1155,Under Construction,Moti Nagar
2  BHK  Apartment,,Tlrinfra,4800000,"3,840 / sq ft",1250,Under Construction,Bachupally
2  BHK  Apartment,,Sujana,5100000,"4,197 / sq ft",1215,Under Construction,Bachupally
3  BHK  Apartment,,EXP Global India Pvt Ltd,6057000,"4,699 / sq ft",1289,Under Construction,Bahadurpally
4  BHK  Villa,,EXP Global India Pvt Ltd,36800000,"9,800 / sq ft",3756,Under Construction,Kollur
3  BHK  Apartment,Ramky One Galaxia,EXP Global India Pvt Ltd,11100000,"7,231 / sq ft",1535,Ready to move,Nallagandla Gachibowli
2  BHK  Apartment,,Satyam,5600000,"5,090 / sq ft",1100,Ready to move,Gajularamaram
3  BHK  Apartment,,EXP Global India Pvt Ltd,23700000,"9,500 / sq ft",2500,Under Construction,Kondapur
2  BHK  Apartment,,Avimukthika Infra,4500000,"3,435 / sq ft",1310,Under Construction,Bachupally
2  BHK  Apartment,,EXP Global India Pvt Ltd,4496000,"4,699 / sq ft",957,Under Construction,Bahadurpally
3  BHK  Apartment,,Tlrinfra,7800000,"5,652 / sq ft",1380,Under Construction,Chandanagar
2  BHK  Apartment,,TSR PROPERTIES,7320000,"6,100 / sq ft",1200,Under Construction,Narsingi
3  BHK  Apartment,Endeco TS Heights,Real Avenue Consultant Services RACS LLP,9900000,"6,538 / sq ft",1514,Under Construction,Moti Nagar
3  BHK  Apartment,Muppa Melody,DR Properties,9600000,"5,907 / sq ft",1625,Under Construction,Osman Nagar
3  BHK  Apartment,,Kfr,6500000,"4,727 / sq ft",1375,Ready to move,Miyapur
3  BHK  Apartment,,Tejaswini,6100000,"4,452 / sq ft",1370,Ready to move,Pragathi Nagar Kukatpally
3  BHK  Apartment,Shreemukh Namitha 360 Life,EXP Global India Pvt Ltd,58200000,"12,000 / sq ft",4850,Under Construction,Hitech City
4  BHK  Apartment,Poulomi Palazzo,DR Properties,62000000,"10,000 / sq ft",6200,Under Construction,Kokapet
4  BHK  Apartment,Prestige Beverly Hills,Yes Property,20000000,"7,385 / sq ft",2708,Under Construction,Kokapet
4  BHK  Villa,,EXP Global India Pvt Ltd,45000000,"9,000 / sq ft",5000,Ready to move,Manikonda
3  BHK  Apartment,,Tlrinfra,7800000,"5,777 / sq ft",1350,Under Construction,Hafeezpet
3  BHK  Apartment,Muppa Melody,DR Properties,9600000,"5,907 / sq ft",1625,Under Construction,Osman Nagar
3  BHK  Apartment,Urbanrise Residences,Yes Property,13500000,"8,348 / sq ft",1617,Under Construction,Bachupally
3  BHK  Apartment,Endeco TS Heights,Real Avenue Consultant Services RACS LLP,9600000,"6,521 / sq ft",1472,Under Construction,Moti Nagar
3  BHK  Apartment,,Tlrinfra,6900000,"5,111 / sq ft",1350,Under Construction,Hafeezpet
3  BHK  Apartment,Shreemukh Namitha 360 Life,EXP Global India Pvt Ltd,36000000,"10,000 / sq ft",3600,Under Construction,Hitech City
3  BHK  Apartment,Prestige Beverly Hills,Yes Property,14000000,"7,470 / sq ft",1874,Under Construction,Kokapet
2  BHK  Apartment,,Rasa Infra,7150000,"6,500 / sq ft",1100,Ready to move,Khajaguda Nanakramguda Road
3  BHK  Apartment,IRA Aspiration,Real Avenue Consultant Services RACS LLP,8200000,"5,141 / sq ft",1595,Under Construction,Kollur
3  BHK  Apartment,IRA Aspiration ,Real Avenue Consultant Services RACS LLP,7700000,"5,150 / sq ft",1495,Under Construction,Kollur
3  BHK  Apartment,,Tlrinfra,7800000,"5,909 / sq ft",1320,Under Construction,Pati
2  BHK  Apartment,,Rasa Infra,4799000,"4,799 / sq ft",1000,Under Construction,Karmanghat
2  BHK  Apartment,,Tlrinfra,7500000,"5,555 / sq ft",1350,Under Construction,Bachupally
3  BHK  Apartment,,Tlrinfra,6900000,"5,111 / sq ft",1350,Under Construction,Aminpur
2  BHK  Apartment,,Renva Group,4500000,"4,972 / sq ft",905,Ready to move,Chandanagar
2  BHK  Apartment,,Rasa Infra,5530000,"4,850 / sq ft",1140,Ready to move,Saroornagar
7  BHK  Independent House,,Royal Rajputana Co,15000000,"4,687 / sq ft",3200,Ready to move,Malkajgiri
3  BHK  Apartment,Vasavi Construction Atlantis,DR Properties,16200000,"7,534 / sq ft",2150,Under Construction,Narsingi
3  BHK  Apartment,,Tlrinfra,7800000,"5,379 / sq ft",1450,Under Construction,Hafeezpet
3  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,5200000,"4,735 / sq ft",1098,Under Construction,Bahadurpally
4  BHK  Independent House,,Anusha Real Estate Co,32000000,"11,851 / sq ft",2700,Ready to move,Kothapet
3  BHK  Apartment,Manbhum Around The Grove,Real Avenue Consultant Services RACS LLP,20700000,"9,000 / sq ft",2300,Ready to move,Hitech City
2  BHK  Apartment,,Tlrinfra,4900000,"4,454 / sq ft",1100,Under Construction,Chandanagar
2  BHK  Apartment,,Tlrinfra,4900000,"4,454 / sq ft",1100,Under Construction,Pragathi Nagar Kukatpally
3  BHK  Apartment,IRA Miracle,Real Avenue Consultant Services RACS LLP,9900000,"5,336 / sq ft",1855,Under Construction,Kollur
3  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,5200000,"4,735 / sq ft",1098,Under Construction,Bahadurpally
2  BHK  Apartment,,Kazim Co Real Estate,12000000,"9,448 / sq ft",1270,Ready to move,Kokapet
3  BHK  Apartment,,Mahesh,4800000,"3,200 / sq ft",1500,Under Construction,Kollur
2  BHK  Apartment,,MIK Properties,6888000,"6,000 / sq ft",1148,Under Construction,Bachupally
2  BHK  Apartment,,Kazim Co Real Estate,12000000,"9,448 / sq ft",1270,Ready to move,Kokapet
2  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,4500000,"4,702 / sq ft",957,Under Construction,Bahadurpally
3  BHK  Apartment,,Tlrinfra,7998000,"4,999 / sq ft",1600,Under Construction,Chandanagar
3  BHK  Apartment,,Tlrinfra,7498000,"4,999 / sq ft",1500,Under Construction,Bachupally
3  BHK  Apartment,Manbhum Around The Grove,Real Avenue Consultant Services RACS LLP,16600000,"8,948 / sq ft",1855,Ready to move,Hitech City
2  BHK  Apartment,,Tlrinfra,4900000,"4,454 / sq ft",1100,Under Construction,Nizampet
3  BHK  Apartment,Mainland A2A Home Land,Anudeep,13500000,"5,999 / sq ft",2260,Under Construction,Balanagar
2  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,4500000,"4,702 / sq ft",957,Under Construction,Bahadurpally
3  BHK  Apartment,Prestige Beverly Hills,EXP Global India Pvt Ltd,15900000,"7,500 / sq ft",2124,Under Construction,Kokapet
1  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,3500000,"4,723 / sq ft",741,Under Construction,Bahadurpally
2  BHK  Apartment,,Sujana,5100000,"4,197 / sq ft",1215,Under Construction,Bachupally
3  BHK  Apartment,Praneeth Elite,Renu RSR,11399999,"5,800 / sq ft",1968,Under Construction,Kollur
3  BHK  Apartment,Sterling Grandeur,EXP Global India Pvt Ltd,10800000,"6,279 / sq ft",1720,Under Construction,Bachupally
4  BHK  Apartment,Ananda The Ozone Heights,DR Properties,17500000,"5,468 / sq ft",3200,Ready to move,Tellapur
3  BHK  Apartment,Mainland A2A Home Land,Anudeep,13200000,"5,999 / sq ft",2215,Under Construction,Balanagar
1  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,3500000,"4,723 / sq ft",741,Under Construction,Bahadurpally
3  BHK  Apartment,IRA Miracle,Real Avenue Consultant Services RACS LLP,9800000,"5,283 / sq ft",1855,Under Construction,Kollur
1  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,2800000,"4,538 / sq ft",617,Under Construction,Bahadurpally
3  BHK  Apartment,Praneeth Elite,Renu RSR,11399999,"5,800 / sq ft",1968,Under Construction,Kollur
3  BHK  Apartment,,SNR Avenues,9000000,"5,184 / sq ft",1736,Under Construction,Bachupally
2  BHK  Apartment,,SNR Avenues,5928000,"5,200 / sq ft",1140,Under Construction,Miyapur
3  BHK  Apartment,Prestige Tranquil,EXP Global India Pvt Ltd,16000000,"7,808 / sq ft",2049,Under Construction,Kokapet
3  BHK  Apartment,Mainland A2A Home Land,Anudeep,12900000,"5,999 / sq ft",2155,Under Construction,Balanagar
1  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,2800000,"4,538 / sq ft",617,Under Construction,Bahadurpally
3  BHK  Apartment,,Avimukthika Infra,10000000,"5,291 / sq ft",1890,Under Construction,Miyapur
3  BHK  Apartment,,Mahesh,5280000,"3,200 / sq ft",1650,Under Construction,Pati
2  BHK  Apartment,,Kazim Co Real Estate,9800000,"8,065 / sq ft",1215,Ready to move,Kokapet
3  BHK  Apartment,Praneeth Elite,Renu RSR,13200000,"5,800 / sq ft",2287,Under Construction,Kollur
3  BHK  Apartment,Praneeth Elite,Renu RSR,13200000,"5,800 / sq ft",2287,Under Construction,Kollur
2  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,5500000,"4,774 / sq ft",1152,Under Construction,Bahadurpally
2  BHK  Apartment,,Tlrinfra,4500000,"3,571 / sq ft",1260,Under Construction,Nizampet
3  BHK  Apartment,Mainland A2A Home Land,Anudeep,12300000,"5,999 / sq ft",2065,Under Construction,Balanagar
3  BHK  Apartment,Mainland A2A Home Land,Anudeep,10100000,"5,999 / sq ft",1700,Under Construction,Balanagar
2  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,3000000,"2,500 / sq ft",1200,Under Construction,Bollaram Industrial Area
2  BHK  Villa,,Real Avenue Consultant Services RACS LLP,7000000,"3,899 / sq ft",1795,Under Construction,Bollaram Industrial Area
2  BHK  Apartment,IRA Miracle,Real Avenue Consultant Services RACS LLP,8700000,"5,256 / sq ft",1655,Under Construction,Kollur
2  BHK  Apartment,Bhuvanteza Happy Homes II,MsReddy,3172000,"2,600 / sq ft",1220,Under Construction,Shamirpet
2  BHK  Apartment,,Sathish,2700000,"3,107 / sq ft",869,Ready to move,Aminpur
3  BHK  Apartment,Brigade Citadel Phase 3,Anudeep,13600000,"7,640 / sq ft",1793,Under Construction,Erragadda
3  BHK  Apartment,Praneeth Elite,Renu RSR,10100000,"5,800 / sq ft",1753,Under Construction,Kollur
3  BHK  Apartment,Sterling Grandeur,EXP Global India Pvt Ltd,9600000,"3,333 / sq ft",2880,Ready to move,Bachupally
3  BHK  Apartment,,Satyam,9500000,"6,785 / sq ft",1400,Under Construction,Bachupally
3  BHK  Apartment,Aparna Sarovar Zenith,DR Properties,14800000,"9,801 / sq ft",1510,Ready to move,Nallagandla Gachibowli
2  BHK  Apartment,,Tlrinfra,4500000,"3,600 / sq ft",1250,Under Construction,Hyder Nagar
2  BHK  Apartment,,Tlrinfra,4900000,"3,920 / sq ft",1250,Under Construction,Hitech City
2  BHK  Apartment,,Tlrinfra,4900000,"4,454 / sq ft",1100,Under Construction,Serilingampally
2  BHK  Independent House,,Nagaraj propertys,5300000,"5,888 / sq ft",900,Ready to move,Shamshabad
2  BHK  Apartment,,MsReddy,5640000,"4,700 / sq ft",1200,Under Construction,Aminpur
2  BHK  Apartment,,Kfr,6000000,"4,958 / sq ft",1210,Under Construction,Chandanagar
3  BHK  Apartment,Prestige Tranquil,EXP Global India Pvt Ltd,16000000,"7,808 / sq ft",2049,Under Construction,Kokapet
2  BHK  Apartment,,TSR PROPERTIES,7320000,"6,100 / sq ft",1200,Under Construction,Narsingi
3  BHK  Apartment,,TSR PROPERTIES,9943000,"6,100 / sq ft",1630,Under Construction,Narsingi
3  BHK  Apartment,Praneeth Elite,Renu RSR,10100000,"5,800 / sq ft",1753,Under Construction,Kollur
2  BHK  Apartment,,Tejaswini,5400000,"4,500 / sq ft",1200,Ready to move,Hafeezpet
2  BHK  Apartment,,Tejaswini,5600000,"4,666 / sq ft",1200,Ready to move,Aminpur
3  BHK  Apartment,Muppa Melody,DR Properties,9600000,"5,907 / sq ft",1625,Under Construction,Osman Nagar
2  BHK  Apartment,,Satyam,7500000,"6,756 / sq ft",1110,Under Construction,Bachupally
2  BHK  Apartment,Sukhii Ubuntu,TSR PROPERTIES,9073000,"6,900 / sq ft",1315,Under Construction,Puppalaguda
2  BHK  Apartment,,Tlrinfra,4500000,"3,571 / sq ft",1260,Under Construction,Nizampet
2  BHK  Apartment,,Tlrinfra,4500000,"3,600 / sq ft",1250,Under Construction,Hyder Nagar
2  BHK  Apartment,,Tlrinfra,4500000,"3,750 / sq ft",1200,Under Construction,Hafeezpet
2  BHK  Apartment,,Rasa Infra,5278000,"5,200 / sq ft",1015,Ready to move,Nagole
3  BHK  Apartment,,Tlrinfra,6900000,"5,390 / sq ft",1280,Under Construction,Miyapur
2  BHK  Apartment,,Kfr,5165000,"4,550 / sq ft",1135,Ready to move,Miyapur
1  BHK  Apartment,,Bhoomi Real Estates,2600000,"4,333 / sq ft",600,Under Construction,Uppal
4  BHK  Independent Floor,,Rasa Infra,13400000,"10,720 / sq ft",1250,Ready to move,Nagole
3  BHK  Apartment,,Brand Homes,4500000,"3,947 / sq ft",1140,Ready to move,Pragathi Nagar Kukatpally
3  BHK  Apartment,Ramky One Harmony,Devulapalli Realtors Pvt Ltd,8340000,"6,000 / sq ft",1390,Under Construction,Pragathi Nagar Kukatpally
3  BHK  Apartment,,Rasa Infra,12500000,"6,756 / sq ft",1850,Ready to move,Begumpet
3  BHK  Apartment,,TSR PROPERTIES,9943000,"6,100 / sq ft",1630,Under Construction,Narsingi
3  BHK  Apartment,Praneeth Elite,Renu RSR,11700000,"5,800 / sq ft",2030,Under Construction,Kollur
3  BHK  Apartment,Praneeth Elite,Renu RSR,11700000,"5,800 / sq ft",2030,Under Construction,Kollur
3  BHK  Apartment,,Tejaswini,6100000,"4,178 / sq ft",1460,Ready to move,Kukatpally
3  BHK  Apartment,,Tejaswini,6100000,"4,178 / sq ft",1460,Ready to move,Pragathi Nagar Kukatpally
2  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,4800000,"3,966 / sq ft",1210,Ready to move,Mallampet
3  BHK  Apartment,Sukhii Ubuntu,TSR PROPERTIES,15300000,"6,900 / sq ft",2230,Under Construction,Puppalaguda
2  BHK  Apartment,,Tlrinfra,4500000,"3,750 / sq ft",1200,Under Construction,Hafeezpet
2  BHK  Apartment,,Tlrinfra,4500000,"3,913 / sq ft",1150,Under Construction,Aminpur
2  BHK  Apartment,,Tlrinfra,4500000,"3,913 / sq ft",1150,Under Construction,Aminpur
2  BHK  Apartment,,Tlrinfra,4900000,"3,920 / sq ft",1250,Under Construction,Serilingampally
2  BHK  Apartment,,Tlrinfra,4900000,"4,454 / sq ft",1100,Under Construction,Madhapur
3  BHK  Apartment,Raghuram The Vue Residences,Yes Property,20000000,"7,518 / sq ft",2660,Under Construction,Puppalaguda
3  BHK  Apartment,Raghuram The Vue Residences,Yes Property,15000000,"7,792 / sq ft",1925,Under Construction,Puppalaguda
2  BHK  Apartment,Primark Eco Nest,Devulapalli Realtors Pvt Ltd,5500000,"4,365 / sq ft",1260,Under Construction,Gundlapochampally
2  BHK  Apartment,,Real Avenue Consultant Services RACS LLP,4800000,"3,902 / sq ft",1230,Ready to move,Mallampet
2  BHK  Apartment,PVR Anmol,Real Avenue Consultant Services RACS LLP,8800000,"5,517 / sq ft",1595,Under Construction,Bachupally
3  BHK  Apartment,Praneeth Elite,Renu RSR,10000000,"5,800 / sq ft",1736,Under Construction,Kollur
3  BHK  Apartment,Praneeth Elite,Renu RSR,10000000,"5,800 / sq ft",1736,Under Construction,Kollur
2  BHK  Apartment,,Rasa Infra,5899000,"5,437 / sq ft",1085,Ready to move,Malkajgiri
2  BHK  Apartment,,Divya,7500000,"5,905 / sq ft",1270,Under Construction,Miyapur
2  BHK  Apartment,Sukhii Ubuntu,TSR PROPERTIES,9073000,"6,900 / sq ft",1315,Under Construction,Puppalaguda
2  BHK  Apartment,PVR Anmol,Real Avenue Consultant Services RACS LLP,8500000,"5,537 / sq ft",1535,Under Construction,Bachupally
5  BHK  Apartment,Poulomi Palazzo,DR Properties,81000000,"10,000 / sq ft",8100,Under Construction,Kokapet
3  BHK  Apartment,,Tlrinfra,6900000,"5,390 / sq ft",1280,Under Construction,Miyapur
2  BHK  Apartment,,Tlrinfra,4900000,"3,920 / sq ft",1250,Under Construction,Serilingampally
2  BHK  Apartment,,Tlrinfra,4900000,"4,454 / sq ft",1100,Under Construction,Mallampet
3  BHK  Villa,,Devulapalli Realtors Pvt Ltd,20000000,"7,547 / sq ft",2650,Under Construction,Kollur
3  BHK  Apartment,APR Praveens Higheria,Devulapalli Realtors Pvt Ltd,7009000,"4,300 / sq ft",1630,Under Construction,Patancheru
2  BHK  Apartment,,Tlrinfra,4500000,"3,600 / sq ft",1250,Under Construction,Kondapur
3  BHK  Apartment,Praneeth Elite,Renu RSR,9309000,"5,800 / sq ft",1605,Under Construction,Kollur
3  BHK  Apartment,Praneeth Elite,Renu RSR,11399999,"5,800 / sq ft",1968,Under Construction,Kollur
2  BHK  Apartment,,Divya,5800000,"4,833 / sq ft",1200,Under Construction,Chandanagar
3  BHK  Apartment,,Divya,6000000,"4,615 / sq ft",1300,Under Construction,Pragathi Nagar Kukatpally
3  BHK  Apartment,,Royal Rajputana Co,10800000,"5,700 / sq ft",1900,Ready to move,Old Bowenpally
4  BHK  Apartment,Vasavi Construction Atlantis,DR Properties,24000000,"7,207 / sq ft",3330,Under Construction,Narsingi
