title,projectname,builder,price,per_sqft,area,status,place
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,9988000,"6,200 / sq ft",1611,Ready to move,Manikonda
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,9610000,"6,200 / sq ft",1550,Ready to move,Manikonda
2  BHK  Apartment,Cybercity Oriana,Cyber City Oriana,13500000,"9,310 / sq ft",1450,Under Construction,Kukatpally
3  BHK  Apartment,Syamantaka Emerald Heights,Symantaka Infra,7992000,"5,400 / sq ft",1480,Under Construction,Bachupally
2  BHK  Apartment,IRA M3,Ira Reality,5498000,"4,999 / sq ft",1100,Under Construction,Kollur
2  BHK  Apartment,Anuhar Towers,Anuhar Homes Pvt Ltd,8356000,"6,350 / sq ft",1316,Under Construction,Manikonda
3  BHK  Apartment,Theme Imperial,Theme Ambience Infrastructures,12500000,"6,800 / sq ft",1845,Under Construction,Attapur
3  BHK  Apartment,Theme Imperial,Theme Ambience Infrastructures,15300000,"6,800 / sq ft",2250,Under Construction,Attapur
2  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,8109000,"6,200 / sq ft",1308,Ready to move,Manikonda
Residential Plot,Haripriya Ohana,Haripriya Developers,19600000,"7,222 / sq ft",2718,New,Kompally
Residential Plot,Haripriya Ohana,Haripriya Developers,19400000,"7,222 / sq ft",2700,New,Kompally
3  BHK  Apartment,Candeur Crescent,Candeur Developers And Builders,12500000,"7,807 / sq ft",1601,Under Construction,Serilingampally
2  BHK  Apartment,Riddhi Pramukh Elegance,Riddhi Group,6380000,"5,800 / sq ft",1100,Under Construction,Jeedimetla
Residential Plot,IRA Aerocity,Ira Reality,52699999,"5,000 / sq ft",10542,New,Shamshabad
3  BHK  Apartment,Hallmark Treasor,Hallmark Builders,13500000,"8,003 / sq ft",1695,Under Construction,Gandipet
3  BHK  Apartment,Merlion Galaxia,Merlion Builders,9070000,"5,599 / sq ft",1620,Under Construction,Nizampet
3  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,9610000,"6,200 / sq ft",1550,Ready to move,Manikonda
2  BHK  Apartment,Anuhar Art Of Living,Anuhar Homes Pvt Ltd,7942000,"6,200 / sq ft",1281,Ready to move,Manikonda
3  BHK  Apartment,Om Sree Brilliance,Om Sree Builders And Developers,13300000,"6,100 / sq ft",2195,Under Construction,Sainikpuri
3  BHK  Apartment,Primark De Stature,Primark Projects Pvt Ltd,7118000,"4,699 / sq ft",1515,Under Construction,Kompally
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,11800000,"6,400 / sq ft",1847,Under Construction,Manikonda
3  BHK  Apartment,Merlion Galaxia,Merlion Builders,10300000,"5,600 / sq ft",1854,Under Construction,Nizampet
3  BHK  Apartment,Anuhar Rami Reddy Towers,Anuhar Homes Pvt Ltd,11200000,"6,400 / sq ft",1758,Under Construction,Manikonda
3  BHK  Apartment,Aavasa Constructions Emerald,Aavasa Constructions,13400000,"6,500 / sq ft",2065,Under Construction,Saroor Nagar
3  BHK  Apartment,IRA Miracle,Ira Reality,11399999,"5,299 / sq ft",2155,Under Construction,Kollur
2  BHK  Apartment,Anuhar Towers,Anuhar Homes Pvt Ltd,9182000,"6,350 / sq ft",1446,Under Construction,Manikonda
3  BHK  Apartment,Theme Imperial,Theme Ambience Infrastructures,14100000,"6,800 / sq ft",2075,Under Construction,Attapur
2  BHK  Apartment,My Home Sayuk,My Home Constructions Pvt Ltd,13000000,"8,264 / sq ft",1573,Under Construction,Tellapur
3  BHK  Apartment,Hallmark Skyrena,Hallmark Builders,11600000,"7,099 / sq ft",1635,Under Construction,Narsingi
Residential Plot,Haripriya Dukes County Phase II,Haripriya Developers,17300000,"4,444 / sq ft",3906,New,Sheriguda
4  BHK  Villa,NR Infra Ultimus,NR Infra Projects,12000000,"4,999 / sq ft",2420,Ready to move,Rameswaram Banda
